,DATE,Civilian_Labor_Force_Population
337,2018-02-01,2137241
338,2018-03-01,2141174
339,2018-04-01,2136107
340,2018-05-01,2137837
341,2018-06-01,2151026
342,2018-07-01,2165541
343,2018-08-01,2153255
344,2018-09-01,2172540
345,2018-10-01,2175130
346,2018-11-01,2193490
347,2018-12-01,2189746
348,2019-01-01,2201944
349,2019-02-01,2207180
350,2019-03-01,2210408
351,2019-04-01,2204972
352,2019-05-01,2212891
353,2019-06-01,2229868
354,2019-07-01,2238501
355,2019-08-01,2233036
356,2019-09-01,2244375
357,2019-10-01,2251403
358,2019-11-01,2263693
359,2019-12-01,2260527
360,2020-01-01,2272861
361,2020-02-01,2281937
362,2020-03-01,2269254
363,2020-04-01,2195961
364,2020-05-01,2212060
365,2020-06-01,2241006
366,2020-07-01,2253291
367,2020-08-01,2256026
368,2020-09-01,2259900
369,2020-10-01,2274518
370,2020-11-01,2281746
371,2020-12-01,2285035
372,2021-01-01,2291104
373,2021-02-01,2301606
374,2021-03-01,2302370
375,2021-04-01,2301156
376,2021-05-01,2307899
377,2021-06-01,2320856
378,2021-07-01,2319524
379,2021-08-01,2307142
380,2021-09-01,2319355
381,2021-10-01,2318333
382,2021-11-01,2329932
383,2021-12-01,2323383
384,2022-01-01,2330711
385,2022-02-01,2342268
386,2022-03-01,2334867
387,2022-04-01,2337663
388,2022-05-01,2355279
389,2022-06-01,2360061
390,2022-07-01,2364775
391,2022-08-01,2374758
392,2022-09-01,2387364
393,2022-10-01,2388131
